file_name;file_index;Type;client_code;start;end;shelf;SKU_code;shelf_life;amount;plan
2_2024.xlsx;2068;Shelf life;Nd-00021574;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;60503;18;0,7;10
2_2024.xlsx;2069;Shelf life;Nd-00021574;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;89423;18;0,7;10
2_2024.xlsx;2070;Shelf life;88;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;91602;6;0,7;50
2_2024.xlsx;2071;Shelf life;88;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;85741;6;0,7;500
2_2024.xlsx;2072;Shelf life;Nd-00020174;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;85741;6;0,7;120
2_2024.xlsx;2073;Shelf life;Nd-00028665;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;91602;6;0,7;90
2_2024.xlsx;2074;Shelf life;Nd-00028665;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;85741;6;0,7;120
2_2024.xlsx;2075;Shelf life;Nd-00025441;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;85741;6;0,7;90
2_2024.xlsx;2076;Promo;Nd-00027832;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;81665;9;0,2;10
2_2024.xlsx;2077;Promo;00-00033819;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;81057;6;0,43;768
2_2024.xlsx;2078;Promo;00-00033819;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;87800;12;0,39;350
2_2024.xlsx;2079;Promo;Nd-00025196;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;64608;12;0,3;17
2_2024.xlsx;2080;Shelf life;275;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;60503;18;0,7;10
2_2024.xlsx;2081;Shelf life;275;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;89423;18;0,7;10
2_2024.xlsx;2082;Shelf life;Nd-00029480;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;60503;18;0,7;10
2_2024.xlsx;2083;Shelf life;Nd-00029480;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;89423;18;0,7;10
2_2024.xlsx;2084;Shelf life;Nd-00027348;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;85741;6;0,7;90
2_2024.xlsx;2085;Shelf life;Nd-00027348;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;84599;6;0,664;100
2_2024.xlsx;2086;Shelf life;314;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;84599;6;0,664;100
2_2024.xlsx;2087;Shelf life;315;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;84599;6;0,664;100
2_2024.xlsx;2088;Shelf life;316;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;84599;6;0,664;100
2_2024.xlsx;2089;Shelf life;317;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;84599;6;0,664;100
2_2024.xlsx;2090;Shelf life;245;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;84599;6;0,664;100
2_2024.xlsx;2091;Shelf life;318;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;84599;6;0,664;100
2_2024.xlsx;2092;Shelf life;00-00005548;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;84599;6;0,664;100
2_2024.xlsx;2093;Promo;269;2024-02-21 00:00:00;2024-02-28 00:00:00;2024-02-21 00:00:00;87878;12;0,3;800
2_2024.xlsx;2094;Promo;269;2024-02-21 00:00:00;2024-03-06 00:00:00;2024-02-21 00:00:00;89422;12;0,3;600
2_2024.xlsx;2095;Promo;269;2024-02-21 00:00:00;2024-03-06 00:00:00;2024-02-21 00:00:00;79549;12;0,38;1000
2_2024.xlsx;2099;Shelf life;166;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;60503;18;0,7;10
2_2024.xlsx;2100;Shelf life;166;2024-02-21 00:00:00;2024-02-25 00:00:00;2024-02-21 00:00:00;89423;18;0,7;10
2_2024.xlsx;2101;Promo;00-00055590;2024-02-22 00:00:00;2024-02-25 00:00:00;2024-02-22 00:00:00;84353;12;0,37;10
2_2024.xlsx;2102;Shelf life;320;2024-02-22 00:00:00;2024-02-25 00:00:00;2024-02-22 00:00:00;84599;6;0,66;10
2_2024.xlsx;2103;Promo;83;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;48507;18;0,3;768
2_2024.xlsx;2104;Promo;83;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;48501;18;0,3;768
2_2024.xlsx;2105;Promo;83;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;58117;18;0,3;768
2_2024.xlsx;2106;Promo;83;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;60503;18;0,3;768
2_2024.xlsx;2107;Promo;83;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;89423;18;0,3;768
2_2024.xlsx;2108;Promo;83;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;87800;12;0,37;768
2_2024.xlsx;2109;Promo;83;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;79549;12;0,38;768
2_2024.xlsx;2110;Promo;83;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;71875;12;0,33;768
2_2024.xlsx;2111;Promo;83;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;81057;6;0,39;768
2_2024.xlsx;2112;Promo;83;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;1003611;6;0,43;768
2_2024.xlsx;2113;Promo;83;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;100084;6;0,36;768
2_2024.xlsx;2114;Promo;83;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;100086;12;0,36;768
2_2024.xlsx;2115;Promo;83;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;80969;12;0,35;768
2_2024.xlsx;2116;Promo;83;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;100247;6;0,2;768
2_2024.xlsx;2117;Promo;83;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;4000101;6;0,68;768
2_2024.xlsx;2118;Promo;83;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;4000095;6;0,68;768
2_2024.xlsx;2119;Promo;103;2024-02-23 00:00:00;2024-03-13 00:00:00;2024-02-23 00:00:00;87800;12;0,29;768
2_2024.xlsx;2120;Promo;103;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;79549;12;0,12;768
2_2024.xlsx;2121;Promo;103;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;71875;12;0,25;768
2_2024.xlsx;2122;Promo;103;2024-02-23 00:00:00;2024-03-13 00:00:00;2024-02-23 00:00:00;81057;6;0,31;768
2_2024.xlsx;2123;Promo;103;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;1003611;6;0,35;768
2_2024.xlsx;2124;Promo;103;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;100084;6;0,28;768
2_2024.xlsx;2125;Promo;103;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;100086;12;0,28;768
2_2024.xlsx;2126;Promo;103;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;80969;12;0,27;768
2_2024.xlsx;2127;Promo;103;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;100247;6;0,12;768
2_2024.xlsx;2128;Promo;111;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;89422;12;0,3;768
2_2024.xlsx;2129;Promo;111;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;64608;12;0,3;768
2_2024.xlsx;2130;Promo;111;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;48507;18;0,3;768
2_2024.xlsx;2131;Promo;111;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;48501;18;0,3;768
2_2024.xlsx;2132;Promo;111;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;58117;18;0,3;768
2_2024.xlsx;2133;Promo;142;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;89422;12;0,3;768
2_2024.xlsx;2134;Promo;142;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;64608;12;0,3;768
2_2024.xlsx;2135;Promo;142;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;48507;18;0,3;768
2_2024.xlsx;2136;Promo;142;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;48501;18;0,3;768
2_2024.xlsx;2137;Promo;142;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;58117;18;0,3;768
2_2024.xlsx;2138;Promo;279;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;89422;12;0,3;768
2_2024.xlsx;2139;Promo;279;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;64608;12;0,3;768
2_2024.xlsx;2140;Promo;279;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;48507;18;0,3;768
2_2024.xlsx;2141;Promo;279;2024-02-23 00:00:00;2024-02-29 00:00:00;2024-02-23 00:00:00;48501;18;0,3;768
